receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,rho_FUNCTIONAL,rho_THETA_RKA,delta_rho
GRU,Myanmar,123,123,CROSS_ARCH_SAME_SEED_ID,1.0986623674888332,0.993257512011639,0.10540485547719414
GRU,Myanmar,123,2025,CROSS_ARCH_CROSS_SEED,1.0572083705942643,0.7516638320355017,0.3055445385587626
GRU,Myanmar,2025,42,CROSS_ARCH_CROSS_SEED,1.5560406914280804,1.4656803039980473,0.09036038743003316
GRU,Myanmar,2025,123,CROSS_ARCH_CROSS_SEED,0.4728411307051192,0.7764822447331103,-0.30364111402799115
GRU,Myanmar,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.26965319796802684,0.2966834815369364,-0.027030283568909574
GRU,Nepal,42,42,CROSS_ARCH_SAME_SEED_ID,3.0778959788169455,2.095843250520816,0.9820527282961296
GRU,Nepal,42,123,CROSS_ARCH_CROSS_SEED,0.6343478463753554,0.48968130339389493,0.14466654298146042
GRU,Nepal,42,2025,CROSS_ARCH_CROSS_SEED,0.6361754065485701,0.622725313811036,0.013450092737534058
GRU,Nepal,123,42,CROSS_ARCH_CROSS_SEED,0.7258312393006425,1.3216701969816824,-0.5958389576810399
GRU,Nepal,123,123,CROSS_ARCH_SAME_SEED_ID,0.453562034378658,0.3123008530383404,0.14126118134031762
GRU,Nepal,123,2025,CROSS_ARCH_CROSS_SEED,0.7796979147656745,0.33014458338231745,0.44955333138335707
GRU,Nepal,2025,42,CROSS_ARCH_CROSS_SEED,0.9712235670209788,1.4303721761117874,-0.45914860909080857
GRU,Nepal,2025,123,CROSS_ARCH_CROSS_SEED,0.5075243084284253,0.5698182355569458,-0.06229392712852044
GRU,Nepal,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.36945807805370817,0.4240294580839837,-0.05457138003027551
GRU,New Caledonia,42,42,CROSS_ARCH_SAME_SEED_ID,0.3560211358370048,0.3501628065283881,0.005858329308616683
GRU,New Caledonia,42,123,CROSS_ARCH_CROSS_SEED,1.6308755186357633,1.6355195940870564,-0.004644075451293084
GRU,New Caledonia,42,2025,CROSS_ARCH_CROSS_SEED,3.0729910136477376,3.1175153884859514,-0.04452437483821381
GRU,New Caledonia,123,42,CROSS_ARCH_CROSS_SEED,1.4203302702563076,1.1592279350417243,0.26110233521458337
GRU,New Caledonia,123,123,CROSS_ARCH_SAME_SEED_ID,1.1747957410102141,0.7609921836998036,0.4138035573104105
